id,label
162_JUPITER_AND_THE_THUNDERBOLTS,162_JUPITER_AND_THE_THUNDERBOLTS
208_THE_FARMER_THE_DOG_AND_THE_FOX,208_THE_FARMER_THE_DOG_AND_THE_FOX
128_THE_MAIDEN,128_THE_MAIDEN
Elephant,Elephant
131_THE_MILKMAID_AND_THE_MILKPAIL,131_THE_MILKMAID_AND_THE_MILKPAIL
Wolves,Wolves
daughters,daughters
artisan,artisan
Simonides,Simonides
Dog,Dog
Duck,Duck
judge,judge
144_DEATH_AND_THE_DYING_MAN,144_DEATH_AND_THE_DYING_MAN
221_THE_WOLF_AND_THE_FOX,221_THE_WOLF_AND_THE_FOX
creatures,creatures
deer-hound,deer-hound
Dogs,Dogs
Swallow,Swallow
Ant,Ant
Narcissus,Narcissus
tales,tales
Cock,Cock
234_THE_ELEPHANT_AND_JUPITERS_MONKEY,234_THE_ELEPHANT_AND_JUPITERS_MONKEY
Sow,Sow
Jay,Jay
38_THE_COCK_AND_THE_FOX,38_THE_COCK_AND_THE_FOX
Pierrot,Pierrot
monarch,monarch
croaker,croaker
owls,owls
Labourer,Labourer
Ravens,Ravens
204_THE_OLD_MAN_AND_THE_THREE_YOUNG_MEN,204_THE_OLD_MAN_AND_THE_THREE_YOUNG_MEN
57_THE_MISER_WHO_LOST_HIS_TREASURE,57_THE_MISER_WHO_LOST_HIS_TREASURE
Rhinoceros,Rhinoceros
141_THE_LION_THE_WOLF_AND_THE_FOX,141_THE_LION_THE_WOLF_AND_THE_FOX
Quidnunc,Quidnunc
114_THE_SICK_LION_AND_THE_FOX,114_THE_SICK_LION_AND_THE_FOX
36_THE_BIRD_WOUNDED_BY_AN_ARROW,36_THE_BIRD_WOUNDED_BY_AN_ARROW
Tanner,Tanner
187_THE_SHEPHERD_AND_HIS_FLOCK,187_THE_SHEPHERD_AND_HIS_FLOCK
Tyreus,Tyreus
Sun,Sun
9_THE_TOWN_RAT_AND_THE_COUNTRY_RAT,9_THE_TOWN_RAT_AND_THE_COUNTRY_RAT
198_THE_LION,198_THE_LION
